date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:41:26	180/180	---MCZ	200	added ('OK')	text/plain	date:Mon,%2025%20May%202026%2010:41:09%20GMT	https://html.awaikenthemes.com/robots.txt		(from )
03:41:26	90393/90393	---MCZ	200	added ('OK')	text/html	etag:W/%2216119-63bd9059b73aa%22	https://html.awaikenthemes.com/labrix/	C:/My%20Web%20Sites/Slazor%20Limited/html.awaikenthemes.com/labrix/index.html	(from )
03:41:26	3496/3496	---M--	200	added ('OK')	image/png	etag:%22da8-637c1b1e4db30%22	https://html.awaikenthemes.com/labrix/images/favicon.png	C:/My%20Web%20Sites/Slazor%20Limited/html.awaikenthemes.com/labrix/images/favicon.png	(from https://html.awaikenthemes.com/labrix/)
03:41:27	232757/232757	---MCZ	200	added ('OK')	text/css	etag:W/%2238d35-637c1b1a02cfa%22	https://html.awaikenthemes.com/labrix/css/bootstrap.min.css	C:/My%20Web%20Sites/Slazor%20Limited/html.awaikenthemes.com/labrix/css/bootstrap.min.css	(from https://html.awaikenthemes.com/labrix/)
03:41:27	2505/2505	---MCZ	200	added ('OK')	text/css	etag:W/%229c9-637c1b1a6765e%22	https://html.awaikenthemes.com/labrix/css/slicknav.min.css	C:/My%20Web%20Sites/Slazor%20Limited/html.awaikenthemes.com/labrix/css/slicknav.min.css	(from https://html.awaikenthemes.com/labrix/)
03:41:27	18441/18441	---MCZ	200	added ('OK')	text/css	etag:W/%224809-637c1b1a8cc08%22	https://html.awaikenthemes.com/labrix/css/swiper-bundle.min.css	C:/My%20Web%20Sites/Slazor%20Limited/html.awaikenthemes.com/labrix/css/swiper-bundle.min.css	(from https://html.awaikenthemes.com/labrix/)
03:41:28	73890/73890	---MCZ	200	added ('OK')	text/css	etag:W/%22120a2-637c1b19dcf80%22	https://html.awaikenthemes.com/labrix/css/all.min.css	C:/My%20Web%20Sites/Slazor%20Limited/html.awaikenthemes.com/labrix/css/all.min.css	(from https://html.awaikenthemes.com/labrix/)
03:41:28	76809/76809	---MCZ	200	added ('OK')	text/css	etag:W/%2212c09-637c1b19e1da0%22	https://html.awaikenthemes.com/labrix/css/animate.css	C:/My%20Web%20Sites/Slazor%20Limited/html.awaikenthemes.com/labrix/css/animate.css	(from https://html.awaikenthemes.com/labrix/)
03:41:29	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%221b27-637c1b1a40d2c%22	https://html.awaikenthemes.com/labrix/css/magnific-popup.css	C:/My%20Web%20Sites/Slazor%20Limited/html.awaikenthemes.com/labrix/css/magnific-popup.css	(from https://html.awaikenthemes.com/labrix/)
03:41:29	6892/6892	---MCZ	200	added ('OK')	text/css	etag:W/%221aec-637c1b1a46705%22	https://html.awaikenthemes.com/labrix/css/mousecursor.css	C:/My%20Web%20Sites/Slazor%20Limited/html.awaikenthemes.com/labrix/css/mousecursor.css	(from https://html.awaikenthemes.com/labrix/)
03:41:30	108896/108896	---MCZ	200	added ('OK')	text/css	etag:W/%221a960-637c1b1a155da%22	https://html.awaikenthemes.com/labrix/css/custom.css	C:/My%20Web%20Sites/Slazor%20Limited/html.awaikenthemes.com/labrix/css/custom.css	(from https://html.awaikenthemes.com/labrix/)
03:41:30	9587/9587	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222573-637c1b23ae2da%22	https://html.awaikenthemes.com/labrix/images/loader.svg	C:/My%20Web%20Sites/Slazor%20Limited/html.awaikenthemes.com/labrix/images/loader.svg	(from https://html.awaikenthemes.com/labrix/)
